Time, User ID, Task, Event, Sucess, Tank A, Tank B, Tank C, Tank E, Pump A->B, Pump B->A, Pump C->A, Pump D->A, Pump D->C, Pump E->B, Pump F->B, Pump F->E, time spend in optimal range, ratio (%)
0.0, [], RESMAN, Beginning of task, True, 2499,2499,1500,1500,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,0.04,100.00
4.5, VR_U3, RESMAN, Pump activated, True, 2381,2381,1500,1500,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Inactive,Inactive,4.50,100.00
5.0, [], RESMAN, Update, True, 2377,2366,1500,1500,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Inactive,Inactive,5.05,100.00
5.1, VR_U3, RESMAN, Pump activated, True, 2376,2364,1500,1500,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Inactive,Inactive,Inactive,5.14,100.00
6.4, VR_U3, RESMAN, Pump activated, True, 2402,2330,1466,1500,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Active: 13.33,Inactive,Inactive,6.40,100.00
7.1, VR_U3, RESMAN, Pump activated, True, 2415,2330,1448,1482,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Active: 13.33,Active: 10,Inactive,7.07,100.00
9.8, VR_U3, RESMAN, Pump activated, True, 2470,2385,1375,1409,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Active: 13.33,Active: 10,Active: 10,9.81,100.00
11.2, VR_U3, RESMAN, Pump activated, True, 2497,2412,1339,1400,Inactive,Inactive,Active: 13.33,Active: 10,Active: 10,Active: 13.33,Active: 10,Active: 10,11.17,100.00
19.1, VR_U3, RESMAN, Pump deactivated, True, 2655,2570,1287,1347,Inactive,Inactive,Inactive,Active: 10,Active: 10,Active: 13.33,Active: 10,Active: 10,19.06,100.00
25.0, [], RESMAN, Update, True, 2615,2689,1406,1308,Inactive,Inactive,Inactive,Active: 10,Active: 10,Active: 13.33,Active: 10,Active: 10,25.04,100.00
40.2, [], RESMAN, End of task, True, 2515,2990,1707,1208,Inactive,Inactive,Inactive,Active: 10,Active: 10,Active: 13.33,Active: 10,Active: 10,40.07,99.78
40.2, [], RESMAN, Update, True, 2515,2991,1708,1207,Inactive,Inactive,Inactive,Active: 10,Active: 10,Active: 13.33,Active: 10,Active: 10,40.15,100.00
44.6, VR_U3, RESMAN, Pump deactivated, True, 2500,3035,1752,1193,Inactive,Inactive,Inactive,Active: 10,Active: 10,Inactive,Active: 10,Active: 10,41.10,92.25
45.8, VR_U3, RESMAN, Pump deactivated, True, 2496,3031,1764,1205,Inactive,Inactive,Inactive,Active: 10,Active: 10,Inactive,Inactive,Active: 10,41.10,89.76
47.0, VR_U3, RESMAN, Pump activated, True, 2492,3015,1776,1217,Inactive,Inactive,Inactive,Active: 10,Active: 10,Active: 13.33,Inactive,Active: 10,41.10,87.50
48.4, VR_U3, RESMAN, Pump deactivated, True, 2487,3015,1790,1212,Inactive,Inactive,Inactive,Active: 10,Active: 10,Inactive,Inactive,Active: 10,41.10,84.97
50.0, VR_U3, RESMAN, Pump activated, True, 2482,2993,1806,1228,Inactive,Active: 6.66,Inactive,Active: 10,Active: 10,Inactive,Inactive,Active: 10,41.58,83.17
50.0, [], RESMAN, Beginning of task, True, 2482,2992,1807,1229,Inactive,Active: 6.66,Inactive,Active: 10,Active: 10,Inactive,Inactive,Active: 10,41.63,83.19
55.3, VR_U3, RESMAN, Pump deactivated, True, 2517,2784,1911,1333,Inactive,Active: 6.66,Inactive,Active: 10,Inactive,Inactive,Inactive,Active: 10,46.85,84.77
58.2, VR_U3, RESMAN, Pump deactivated, True, 2536,2667,1911,1392,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Inactive,Active: 10,49.76,85.54
62.2, VR_U3, RESMAN, Pump activated, True, 2509,2560,1911,1472,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Inactive,Inactive,Active: 10,53.77,86.47
65.7, VR_U3, RESMAN, Pump activated, True, 2579,2468,1818,1541,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Inactive,Active: 10,Active: 10,57.24,87.18
69.2, VR_U3, RESMAN, Pump activated, True, 2649,2444,1724,1612,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Active: 13.33,Active: 10,Active: 10,60.78,87.84
72.0, VR_U3, RESMAN, Pump deactivated, True, 2706,2501,1648,1593,Inactive,Inactive,Inactive,Active: 10,Inactive,Active: 13.33,Active: 10,Active: 10,63.62,88.32
80.0, [], RESMAN, Update, True, 2653,2661,1648,1540,Inactive,Inactive,Inactive,Active: 10,Inactive,Active: 13.33,Active: 10,Active: 10,71.63,89.49
88.5, VR_U3, RESMAN, Pump activated, True, 2597,2830,1648,1483,Inactive,Active: 6.66,Inactive,Active: 10,Inactive,Active: 13.33,Active: 10,Active: 10,80.07,90.49
89.7, VR_U3, RESMAN, Pump deactivated, True, 2605,2838,1648,1475,Inactive,Active: 6.66,Inactive,Active: 10,Inactive,Inactive,Active: 10,Active: 10,81.31,90.62
90.2, [], RESMAN, End of task, True, 2608,2830,1648,1483,Inactive,Active: 6.66,Inactive,Active: 10,Inactive,Inactive,Active: 10,Active: 10,81.71,90.56
90.2, [], RESMAN, Update, True, 2608,2829,1648,1484,Inactive,Active: 6.66,Inactive,Active: 10,Inactive,Inactive,Active: 10,Active: 10,81.81,90.67
96.1, VR_U3, RESMAN, Pump deactivated, True, 2628,2770,1648,1543,Inactive,Active: 6.66,Inactive,Active: 10,Inactive,Inactive,Inactive,Active: 10,87.73,91.25
100.0, [], RESMAN, Beginning of task, True, 2641,2693,1648,1582,Inactive,Active: 6.66,Inactive,Active: 10,Inactive,Inactive,Inactive,Active: 10,91.61,91.59
101.4, VR_U3, RESMAN, Pump deactivated, True, 2650,2636,1648,1610,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Inactive,Active: 10,93.02,91.70
115.2, VR_U3, RESMAN, Pump activated, True, 2558,2268,1648,1887,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Active: 10,Active: 10,106.83,92.70
116.1, VR_U3, RESMAN, Pump deactivated, True, 2552,2262,1648,1904,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Inactive,Active: 10,107.69,92.75
116.9, VR_U3, RESMAN, Pump activated, True, 2547,2240,1648,1920,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Active: 10,Active: 10,108.51,92.80
117.9, VR_U3, RESMAN, Pump activated, True, 2540,2233,1648,1941,Inactive,Inactive,Inactive,Active: 10,Inactive,Active: 13.33,Active: 10,Active: 10,109.53,92.87
125.0, [], RESMAN, Update, True, 2493,2375,1648,1893,Inactive,Inactive,Inactive,Active: 10,Inactive,Active: 13.33,Active: 10,Active: 10,116.61,93.27
129.4, VR_U3, RESMAN, Pump deactivated, True, 2464,2463,1648,1864,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Active: 10,Active: 10,121.00,93.50
130.0, [], RESMAN, Update, True, 2460,2459,1648,1876,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Active: 10,Active: 10,121.61,93.53
140.2, [], RESMAN, End of task, True, 2392,2392,1648,2000,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Active: 10,Inactive,131.71,93.94
140.2, [], RESMAN, Update, True, 2392,2391,1648,2000,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Active: 10,Inactive,131.79,94.00
145.2, [], RESMAN, Update, True, 2375,2375,1648,2000,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Active: 10,Inactive,136.80,94.21
146.6, VR_U3, RESMAN, Pump activated, True, 2371,2370,1648,2000,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Inactive,Active: 10,Inactive,138.22,94.26
148.5, VR_U3, RESMAN, Pump activated, True, 2390,2364,1623,2000,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Active: 13.33,Active: 10,Inactive,140.10,94.33
165.2, [], RESMAN, Update, True, 2557,2531,1401,1777,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Active: 13.33,Active: 10,Inactive,156.80,94.91
169.1, VR_U3, RESMAN, Pump activated, True, 2595,2569,1349,1726,Inactive,Inactive,Active: 13.33,Active: 10,Active: 10,Active: 13.33,Active: 10,Inactive,160.66,95.02
170.2, [], RESMAN, Update, True, 2607,2581,1345,1711,Inactive,Inactive,Active: 13.33,Active: 10,Active: 10,Active: 13.33,Active: 10,Inactive,161.80,95.06
171.9, VR_U3, RESMAN, Pump activated, True, 2624,2598,1340,1688,Inactive,Inactive,Active: 13.33,Active: 10,Active: 10,Active: 13.33,Active: 10,Active: 10,163.52,95.11
175.1, VR_U3, RESMAN, Pump deactivated, True, 2656,2630,1329,1677,Inactive,Inactive,Active: 13.33,Active: 10,Active: 10,Inactive,Active: 10,Active: 10,166.73,95.20
176.7, VR_U3, RESMAN, Pump deactivated, True, 2671,2625,1324,1692,Inactive,Inactive,Inactive,Active: 10,Active: 10,Inactive,Active: 10,Active: 10,168.27,95.24
180.2, [], RESMAN, Update, True, 2659,2613,1359,1728,Inactive,Inactive,Inactive,Active: 10,Active: 10,Inactive,Active: 10,Active: 10,171.80,95.33
200.0, [], RESMAN, Beginning of task, True, 2594,2547,1557,1926,Inactive,Inactive,Inactive,Active: 10,Active: 10,Inactive,Active: 10,Active: 10,191.59,95.79
202.0, VR_U3, RESMAN, Pump deactivated, True, 2581,2534,1596,1965,Inactive,Inactive,Inactive,Active: 10,Active: 10,Inactive,Active: 10,Inactive,193.55,95.83
208.4, VR_U3, RESMAN, Pump activated, True, 2537,2491,1726,1965,Inactive,Inactive,Inactive,Active: 10,Active: 10,Active: 13.33,Active: 10,Inactive,200.02,95.96
217.7, VR_U3, RESMAN, Pump deactivated, True, 2476,2677,1911,1717,Inactive,Inactive,Inactive,Active: 10,Active: 10,Inactive,Active: 10,Inactive,209.30,96.14
220.5, VR_U3, RESMAN, Pump activated, True, 2457,2658,1968,1717,Inactive,Active: 6.66,Inactive,Active: 10,Active: 10,Inactive,Active: 10,Inactive,212.13,96.18
225.0, VR_U3, RESMAN, Pump deactivated, True, 2486,2569,2000,1717,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Active: 10,Inactive,216.56,96.26
239.4, VR_U3, RESMAN, Pump activated, True, 2390,2474,2000,1717,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Inactive,Active: 10,Inactive,230.96,96.48
240.1, [], RESMAN, End of task, True, 2404,2469,1982,1717,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Inactive,Active: 10,Inactive,231.62,96.48
240.1, [], RESMAN, Update, True, 2404,2469,1982,1717,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Inactive,Active: 10,Inactive,231.66,96.50
250.0, [], RESMAN, Beginning of task, True, 2504,2436,1849,1717,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Inactive,Active: 10,Inactive,241.63,96.63
253.8, VR_U3, RESMAN, Pump activated, True, 2579,2411,1749,1717,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Active: 13.33,Active: 10,Inactive,245.38,96.68
256.9, VR_U3, RESMAN, Pump deactivated, True, 2640,2472,1667,1635,Inactive,Inactive,Active: 13.33,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,248.45,96.72
259.5, VR_U3, RESMAN, Pump deactivated, True, 2640,2525,1597,1566,Inactive,Inactive,Inactive,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,251.07,96.76
260.1, VR_U3, RESMAN, Pump activated, True, 2622,2538,1597,1548,Inactive,Inactive,Inactive,Active: 10,Inactive,Active: 13.33,Active: 10,Inactive,251.74,96.77
265.0, [], RESMAN, Update, True, 2590,2636,1597,1417,Inactive,Inactive,Inactive,Active: 10,Inactive,Active: 13.33,Active: 10,Inactive,256.63,96.83
268.2, VR_U3, RESMAN, Pump deactivated, True, 2569,2699,1597,1333,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Active: 10,Inactive,259.78,96.86
270.0, VR_U3, RESMAN, Pump deactivated, True, 2556,2687,1597,1333,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Inactive,Inactive,261.62,96.88
270.0, VR_U3, RESMAN, Pump activated, True, 2556,2687,1597,1333,Inactive,Active: 6.66,Inactive,Active: 10,Inactive,Inactive,Inactive,Inactive,261.62,96.88
270.0, VR_U3, RESMAN, Pump deactivated, True, 2556,2687,1597,1333,Inactive,Active: 6.66,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,261.62,96.88
